GEOID,State name,Multiple chronic conditions - Fee-for-service Medicare beneficiaries*,Dementia - Fee-for-service Medicare beneficiaries*,Multiple chronic conditions - Average number of contact days with the health care system per beneficiary,Dementia - Average number of contact days with the health care system per beneficiary,Multiple chronic conditions - Average number of inpatient days per beneficiary,Dementia - Average number of inpatient days per beneficiary,Multiple chronic conditions - Average number of unique clinicians seen per beneficiary,Dementia - Average number of unique clinicians seen per beneficiary,Multiple chronic conditions - Percent of beneficiaries whose predominant provider was a primary care physician,Dementia - Percent of beneficiaries whose predominant provider was a primary care physician,Multiple chronic conditions - Percent of beneficiaries filling prescriptions for high-risk medications,Dementia - Percent of beneficiaries filling prescriptions for high-risk medications
1,Alabama,109858,53949,30.0985109019256,26.4172640919564,16.2698894944735,21.1515458980222,4.4988112474403,3.62949204435477,65.0165615217281,70.2207761491979,33.7366644161827,31.9923221928131
2,Alaska,7213,3709,26.901671395109,19.8941377789122,11.5005887492198,9.95941572432785,4.36081349723191,3.32622571224909,58.9874716490345,64.2071837184034,24.8559779988706,22.796128286963
3,Arizona,87079,33224,35.1947132193734,29.361133321141,12.1746334806051,14.7432916101962,5.47712745061115,4.42835791948965,58.2776402882154,65.9761160542266,25.1501965209836,22.9982801877018
4,Arkansas,70775,33873,29.8765124396247,26.4031600722695,17.0286099801801,22.6910953854473,4.16291331674882,3.27375121947492,65.7958173908621,73.5239057453734,29.2127862157857,28.2554646225139
5,California,452693,199706,34.5597493664459,30.175423122484,15.9545506072316,20.970982680839,4.73334687093454,3.86160367284053,61.7386627484236,70.8143811345431,26.3325706824961,24.9572893342847
6,Colorado,52508,27625,30.7926691489399,26.2704291200893,15.773459257889,17.9184484888472,4.86838872140587,3.91815826917686,64.8818329833476,71.2135580943691,24.5301236393562,23.2588345020829
7,Connecticut,77319,42601,36.962061520026,33.3507736287957,20.766815614088,26.0179428520712,5.74541015865903,4.94245570040111,53.4909349349679,58.4797228420733,20.5215999188444,19.3776445317638
8,Delaware,24591,9964,35.6941423362522,33.2579769304816,15.1363699814187,21.6728795643632,5.49550895073861,4.54833580408514,61.9193802712552,70.7946409493766,24.372889902157,23.6178986013735
9,District of Columbia,9940,5772,33.1217694255723,28.4192786665137,17.0499408909529,18.7321223079705,5.08309174223438,4.17493936181215,50.8531526552987,57.4020735742816,22.6678096888664,20.6000724597215
10,Florida,458018,192320,38.3504911033176,35.6343118772743,15.5781856299732,22.4678399991025,5.67578188886074,4.76307715863186,57.4001656905174,62.8888861904373,26.5840372839802,26.5048859955285
11,Georgia,160648,71452,30.9492954400411,25.8089396008988,14.9340075741839,19.841739892094,4.9699821792234,3.80853428433203,60.7395522215373,69.1463266531749,31.9529160681762,30.1384435062691
12,Hawaii,14463,7854,31.6321491047707,24.3657363028987,13.5714425330994,14.8363014340665,4.37937676474679,3.42899751503095,66.9103595140202,73.8499562501878,25.6856506804792,20.096069344487
13,Idaho,20051,9134,25.9379485671604,19.5725912966528,14.9297191809221,16.4731599269226,4.5397651465513,3.33466529175612,62.0393926898489,70.4361676347806,22.2124803204192,21.6859955090796
14,Illinois,287075,128820,33.5580918524451,30.5479534188736,19.6131050247869,26.6767004673406,4.75352504917421,3.85507583481205,64.706637343882,71.277566061884,22.4771033683398,21.4636959525365
15,Indiana,145704,68300,30.415946657857,27.6414573824942,20.0981191484837,26.1615444114731,4.61543510046149,3.7560263434128,61.8060793732686,66.5226381270387,27.3915763256923,28.0679589843741
16,Iowa,67314,32612,27.9271577579037,20.9615051743942,17.6693336632068,20.3499488860524,4.57288880020808,3.27256788420127,65.5106806111185,72.8717754257301,20.4416074284189,19.7577284135269
17,Kansas,61577,30854,30.6236587393313,25.6951115682631,17.3747895133246,20.8968503966419,4.5532283644562,3.59215847904683,68.4365844346471,73.8519080931493,24.256374672032,24.4091082438029
18,Kentucky,108689,44642,30.7837266683194,28.571215253268,19.0472097013915,27.198070931204,4.63464609598394,3.76523631977107,63.4889334353143,67.4127312111645,33.8868607575729,35.8049737019848
19,Louisiana,91759,39716,31.6403425407268,29.066153790442,20.8356866045962,30.4955684729152,4.48436062547824,3.60886988156629,57.235582114122,63.587556854255,34.6718019626644,34.0372522938236
20,Maine,32725,14428,26.9929325858335,21.9578039972036,15.1442979241626,17.1518324695482,4.36747269449247,3.46728600206803,64.4927186412889,66.540571956072,21.4170380758557,20.3477028482358
21,Maryland,124547,60191,34.1448052821226,30.978942903713,15.9338706334324,20.4442761750827,5.28919961856785,4.52987232911182,61.8801962478612,67.4245130268356,23.8484088944926,22.9836480517501
22,Massachusetts,139296,65912,34.7101211116846,31.769843760112,20.1480073921032,26.604390939383,5.28807767763046,4.26802105818363,60.3011264562566,62.7033310367253,18.0399171237179,17.3304492352034
23,Michigan,228510,98653,32.9726054169453,31.2726556645198,16.974580842984,23.0394259697031,4.84762553306067,4.23350523310552,68.9989585724835,73.8256786890006,22.3484330520871,20.7046410504677
24,Minnesota,53155,26050,26.5932570271267,20.4403944655243,15.6652097352321,17.2127369667178,4.74633133612894,3.69971750748111,64.1238893176146,65.2330737687551,16.9048620788532,14.9331857655431
25,Mississippi,70222,33703,30.7674253859401,27.2903215814678,18.772912879732,24.2955541281726,4.46168860583884,3.56778539070622,57.0188612614131,62.3725472557942,32.0928125092537,32.353630766679
26,Missouri,129784,57588,28.8569109543971,26.1797446645133,18.4501654943351,25.4560860685445,4.41497660943792,3.56311660190125,66.5430639468958,73.6100978958869,25.8737337133016,25.4565221150682
27,Montana,17798,9102,24.9669419140438,18.3733685764059,14.835883603401,15.8618374012383,4.30521314356409,3.32246358608261,60.2256131136062,69.9292739350471,22.4497575850357,20.6587002040822
28,Nebraska,36564,18530,28.9709083195621,21.8816937104076,19.8929279546075,22.7530810095824,4.60895291167083,3.51108795959582,69.0806551092055,75.0951808147825,21.8861396647655,21.876518430042
29,Nevada,36286,12751,35.820809577253,32.3154342280466,16.1987946590138,22.5811090580451,4.96635466712225,4.10648773401217,56.9164563487067,64.5519063303087,24.8859808149424,24.6360762027467
30,New Hampshire,30135,15109,29.4714620257003,25.1656652981376,19.3155091595981,24.2436342452902,5.10991896716886,4.17576291871856,60.3458801849723,61.2792474579142,21.7498495854635,21.0285060809553
31,New Jersey,209841,95969,39.7908518323791,37.2849336211213,17.6754046778342,23.015062532672,5.33865969456537,4.47254004890317,56.7513602009834,67.8448812096972,22.3995345796698,21.1848504544562
32,New Mexico,28941,13087,27.8349799663772,22.8579279021348,13.9959735911471,16.9219260027982,4.50381229330305,3.50982547809875,63.1734587527122,68.0311207697176,25.2144803449847,23.9862616558302
33,New York,349597,169152,40.707200651058,38.434522576592,17.5504057381944,23.3563311111487,5.46728785108626,4.66344919541465,60.9046774555057,69.405578936209,20.6351050235068,18.6387278180482
34,North Carolina,205086,94560,30.3573143732107,25.9685470039521,15.7487702892209,19.6025273544449,5.15219153607484,4.26119281560772,66.6455114745236,70.8247845851734,29.601316800098,29.0950809092938
35,North Dakota,14520,7474,26.528150293549,20.1104490738053,22.1312427685501,26.8766452312415,4.53088555008989,3.39355468725218,61.2489472820669,70.1161681871694,18.5966027251453,16.7516906113119
36,Ohio,215030,95344,31.9400675197553,29.6583878923201,18.9008392371305,23.7272608185044,4.74754485020155,3.85030565123637,67.6770419534408,73.7481480608846,25.7802860453031,25.5563238459713
37,Oklahoma,84505,37654,29.4953390473952,26.6885717666026,15.9418141160942,20.6179603764465,4.06083826416306,3.24275405441026,67.8275485575161,76.0601062088955,32.0996606597715,33.1756144096789
38,Oregon,44464,20803,26.199968493977,18.9639610895085,11.035887102536,10.7474275606969,4.3756906573135,3.25534686758627,64.1720445739606,69.3058051036517,23.9802595515668,20.8847516922065
39,Pennsylvania,242138,115716,34.147008230087,31.3643896418264,19.3058127236037,25.6858691673144,4.84819835317227,3.98998356503991,69.9287186182892,77.6499422172217,21.1764737091587,20.855753228654
41,Rhode Island,16810,8503,35.6430223358888,33.0827195403463,17.5783953362423,22.0521137830402,5.21363902775935,4.33314529816792,63.3288444467551,69.5837410677597,18.3890354657131,17.4857308517402
42,South Carolina,104090,48152,30.8948350382658,25.3613671285175,15.7801811082347,20.3613516120186,4.90361399782749,3.85545294036377,64.74210773881,72.0021871178929,29.1477517940183,28.9313795291136
43,South Dakota,17262,7996,26.6796297656399,19.9295565258565,18.5839953871527,21.1989931771334,4.21011321272837,3.03601659992026,70.9459997749434,82.0406688488415,17.0266674816109,16.6372402563053
44,Tennessee,136990,66846,30.8580030345038,28.0594951703047,18.3357533883323,24.8833367503152,4.6542342739656,3.90547443408943,60.3880197471935,62.1254026485332,33.0528077806956,32.1201808037787
45,Texas,419636,203745,33.9100397015212,31.3370733314414,17.7086743023683,22.7873625413119,4.70782068595888,3.91145319585782,59.9806373577703,64.8427011607217,30.6333202127091,30.69999171647
46,Utah,21664,10487,28.2023923792035,20.4577889253828,14.587003337089,14.8843336407164,4.5997643684392,3.40449637225371,67.1827550681257,75.5886105147439,25.4699056784029,20.8703355951649
47,Vermont,13588,6146,24.5254701073689,18.3094109739628,16.2830006362832,17.5880278274533,4.51476844676787,3.4141056790077,69.4519403833707,73.0025496137751,21.7661073630402,20.6497205155062
49,Virginia,158642,74001,30.6556365106504,25.4678929587368,16.2035746357188,19.933758467438,5.02364777425686,4.01480041926937,65.7141288237396,71.0505588530965,26.8560320597658,26.3682913936695
50,Washington,95760,46190,29.0173282307192,22.238274034064,15.0803838782626,16.4984990437237,4.81537615764171,3.60681183257776,63.0748330051479,69.5301142114846,24.3750393317917,23.4075957358493
51,West Virginia,48907,19331,28.9953434607148,26.3135081550141,16.7242810452898,23.8058534207213,4.23387725268219,3.33429074414865,68.50986964866,75.4888819993193,26.8482080179579,26.7215765878607
52,Wisconsin,95344,46851,28.4242707392519,22.8971532698551,17.1500834671965,19.8517912859177,4.55260260044398,3.46778925114578,66.0717273551582,74.6247310969122,19.5897194515521,18.2946167386347
53,Wyoming,9267,4395,29.8386813475332,22.9948957803654,18.1368198063296,21.3862138271131,4.44079725899062,3.37093568533928,63.8426978290133,74.4699112646789,22.8097489362818,21.1902376056517
99,United States,5738378,2640546,33.2185994021307,29.6248794756842,17.2372696605208,22.4593565118729,4.91011832960464,4.00675579974748,62.7618292137604,69.1295285141785,25.8019111168851,24.9208294935711
