hrr,hrr_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
10,AK- ANCHORAGE,47925,384,50058,420,52047,459,54490,471,56970,495,59778,513,62808,562,65773,552,69009,591,72842,626,76814,632,80240,654
1,AL- BIRMINGHAM,375615,3923,379612,4014,386255,4054,395394,4123,402958,4304,411465,4422,419223,4555,425741,4595,433325,4667,445092,4754,458390,4819,471920,5034
2,AL- DOTHAN,64145,655,65458,661,67253,718,68426,723,70529,762,72193,739,74101,793,75514,785,76810,790,77776,783,79818,807,82215,845
5,AL- HUNTSVILLE,81693,901,85556,910,87528,907,91283,943,94510,998,96496,1001,99570,1000,102089,982,105947,1029,109604,1049,116154,1099,118088,1144
6,AL- MOBILE,122207,1447,125541,1493,128651,1590,132038,1587,134898,1632,138274,1623,142472,1680,145590,1758,149145,1756,154587,1787,160549,1783,165840,1846
7,AL- MONTGOMERY,68223,908,69070,921,70199,929,71777,926,72778,922,74158,958,76430,1005,78015,1046,79718,1068,82211,1099,85073,1163,87988,1239
9,AL- TUSCALOOSA,39580,478,40519,502,41384,513,42405,505,43797,511,44725,518,46849,552,47721,588,48705,601,49660,607,50121,637,50634,657
16,AR- FORT SMITH,62040,344,63128,374,64514,385,66350,387,68013,408,69944,412,71802,457,73034,480,74272,492,76939,502,79090,526,79945,527
18,AR- JONESBORO,41057,205,41546,203,42407,218,43285,229,44161,243,45460,255,46619,270,47525,299,47895,319,48823,350,50295,350,51131,358
19,AR- LITTLE ROCK,258613,2253,261827,2270,266252,2293,273194,2349,279744,2406,286316,2432,293180,2567,298954,2573,305584,2644,313493,2702,321698,2709,328981,2825
21,AR- SPRINGDALE,65914,368,67439,389,68954,394,70861,455,73069,496,75413,523,78358,558,80501,555,82957,621,86219,635,89739,633,92546,654
22,AR- TEXARKANA,44252,426,44585,419,45077,426,45916,430,46777,441,47807,460,48918,466,49752,479,50646,491,51687,469,53599,512,53982,513
11,AZ- MESA,127134,1151,131892,1192,137688,1290,143935,1344,147766,1320,152928,1335,158563,1431,163560,1591,169600,1544,178098,1594,187302,1597,197814,1701
12,AZ- PHOENIX,353246,3516,364034,3698,376939,3991,392479,4134,404702,4287,419398,4511,435142,4693,448913,4767,467945,5225,492023,5490,516435,5667,538657,5895
14,AZ- SUN CITY,84112,403,86564,403,88844,414,91137,459,91727,476,92583,500,93141,532,93323,531,93805,580,94950,586,96331,550,97638,547
15,AZ- TUCSON,171422,1437,176115,1525,181637,1661,188285,1699,193313,1661,199090,1663,204852,1736,209420,1756,215238,1909,222840,2028,232361,2055,238607,2055
65,CA- ALAMEDA CO.,170818,2096,171916,2216,173502,2283,176396,2359,179238,2364,183382,2358,188125,2476,193303,2536,200143,2634,207593,2694,217062,2678,224163,2716
25,CA- BAKERSFIELD,112297,1301,114637,1373,117105,1400,119590,1412,121888,1417,124433,1514,127294,1630,129762,1744,133183,1929,136738,2058,141047,2081,145266,2169
31,CA- CHICO,53236,323,53886,344,54476,380,55391,402,56121,427,56952,427,58090,439,59023,437,59911,450,61323,462,63283,449,65032,466
33,CA- CONTRA COSTA CO.,117417,1072,120055,1148,122373,1224,125465,1290,128195,1314,132608,1426,137535,1471,141892,1482,147291,1519,154253,1593,161794,1632,169022,1681
43,CA- FRESNO,126749,1341,128825,1383,130878,1415,133736,1440,136103,1464,139152,1594,142470,1699,145337,1779,149015,1901,154092,1962,159419,1982,164279,2097
56,CA- LOS ANGELES,1055138,13594,1069541,14702,1082382,15264,1099223,15553,1112501,15951,1132830,16260,1159027,17103,1184138,17643,1215527,18423,1257366,19210,1302115,19535,1342450,20304
58,CA- MODESTO,105597,1032,107265,1152,109019,1175,111301,1182,113265,1260,115821,1315,118681,1380,121233,1440,124772,1557,130300,1646,135168,1643,138235,1683
62,CA- NAPA,48555,367,48838,372,49181,373,49691,385,50282,377,51558,381,52926,383,53943,375,55481,384,57474,391,59698,384,61518,398
23,CA- ORANGE CO.,335714,2916,343257,3150,350048,3315,358331,3410,366313,3558,377670,3742,390743,3936,402090,4118,416447,4358,437032,4569,456447,4663,473256,4784
69,CA- PALM SPR/RANCHO MIR.,66163,368,67967,384,68792,389,72121,431,70918,444,75191,489,77149,520,78199,533,77923,514,79375,522,82199,521,86189,595
73,CA- REDDING,61366,346,62504,348,63647,324,65306,355,66822,378,68647,376,70043,374,71572,385,73484,405,74084,410,76548,413,80496,419
77,CA- SACRAMENTO,319065,2755,326532,2874,333362,3001,342318,3202,350001,3261,359586,3365,372580,3515,383098,3621,396478,3796,413328,3942,431864,4015,450055,4228
78,CA- SALINAS,44227,459,44422,483,44497,486,44828,460,45341,486,46005,476,47143,516,48353,509,50037,525,51766,556,53685,582,55582,616
79,CA- SAN BERNARDINO,298322,3259,305044,3547,310358,3715,317079,3882,322891,4126,330200,4358,339264,4572,349031,4785,360858,5156,376041,5408,393924,5610,408922,5973
80,CA- SAN DIEGO,412350,3668,416873,3890,420953,4077,426036,4234,435138,4388,442718,4494,455176,4692,464741,4854,481098,5095,495524,5267,516042,5338,535196,5666
81,CA- SAN FRANCISCO,201091,2114,202257,2232,204454,2250,207113,2297,209387,2280,213186,2245,217696,2255,221869,2318,227345,2409,234656,2502,243121,2546,251053,2638
82,CA- SAN JOSE,172970,1769,176718,1904,180969,2078,186174,2161,190881,2214,196649,2216,203087,2378,209309,2433,216083,2463,224325,2558,233021,2659,240793,2716
83,CA- SAN LUIS OBISPO,39007,170,39177,178,39481,184,39891,193,40539,202,41586,226,42627,225,43476,227,44250,252,45733,222,47570,215,49295,236
85,CA- SAN MATEO CO.,103223,941,104258,983,105071,1044,106747,1067,108254,1057,110262,1106,112905,1137,115333,1211,118226,1243,121955,1301,126171,1280,129650,1307
86,CA- SANTA BARBARA,60875,366,61132,405,61439,416,62026,419,62663,417,63810,466,65194,491,66372,523,67743,530,69440,539,71599,550,73830,598
87,CA- SANTA CRUZ,29789,259,30231,245,30425,247,31075,247,31656,257,32813,260,34054,258,35310,259,36603,277,38490,304,40668,318,42809,316
89,CA- SANTA ROSA,67835,467,68265,502,68805,530,70005,547,71188,545,72970,567,75438,572,77832,599,80676,612,84315,633,88946,625,93124,610
91,CA- STOCKTON,64015,689,65272,738,66271,795,68249,875,69600,904,71524,939,72836,943,74533,979,76920,1073,79539,1116,82337,1145,87486,1229
96,CA- VENTURA,96520,893,98515,965,100203,1015,102392,1065,104675,1167,108010,1205,111761,1259,114749,1241,118777,1233,123654,1247,129391,1296,134296,1367
101,CO- BOULDER,26346,148,27250,158,28640,173,29595,171,31058,179,31557,175,34808,199,34936,200,36694,204,38553,219,41226,213,43651,223
102,CO- COLORADO SPRINGS,91935,569,93789,625,95802,652,98563,680,101504,712,105668,735,109172,765,112568,767,116371,799,121746,819,127855,805,133627,818
103,CO- DENVER,273426,2106,278053,2264,283260,2400,291799,2544,300749,2645,311946,2698,322428,2835,334447,2944,347511,3059,365338,3091,385438,3101,403205,3206
104,CO- FORT COLLINS,34409,198,35094,208,36066,202,37377,215,38510,227,40058,236,41548,227,43080,218,44584,225,46453,217,48536,234,51165,249
105,CO- GRAND JUNCTION,42949,196,44021,188,45009,199,46569,219,47821,221,49001,222,50278,228,51535,229,52847,254,55011,241,57638,250,60167,267
106,CO- GREELEY,40471,263,41364,265,42477,294,43887,301,45308,304,46843,302,48651,305,50154,318,52033,330,54408,324,57162,330,59623,330
107,CO- PUEBLO,29871,246,30278,250,30786,251,31492,271,32188,269,32905,304,33481,298,34137,306,34823,296,35693,293,36928,295,38051,297
109,CT- BRIDGEPORT,99977,804,99822,827,99254,836,98817,835,98666,830,99384,810,100757,797,101512,832,103181,878,105232,885,107455,911,108964,949
110,CT- HARTFORD,233948,1666,235887,1746,237005,1814,239030,1821,241228,1849,245417,1879,250287,1949,253560,1933,257868,1955,264129,1985,271314,1940,277430,1984
111,CT- NEW HAVEN,220348,1817,222496,1810,223907,1819,225969,1842,228742,1864,233459,1940,239702,1986,243522,2057,248047,2118,253488,2036,260975,2039,266975,2018
113,DC- WASHINGTON,294718,4415,299949,4658,304352,4795,310563,5038,317164,5092,325834,5107,336110,5294,345478,5308,356407,5388,370538,5494,386347,5446,401091,5621
112,DE- WILMINGTON,101992,1090,104058,1174,106574,1192,109761,1241,112465,1316,115688,1375,119140,1350,121602,1420,124680,1471,128757,1492,133045,1465,137775,1538
115,FL- BRADENTON,57394,322,57992,352,58795,367,59325,375,59426,377,60204,389,67685,398,68729,403,70590,421,66321,422,76776,452,72474,462
116,FL- CLEARWATER,117037,518,116631,575,116509,571,116063,618,115202,611,115410,603,116509,622,117156,666,117997,742,120462,749,124086,786,127064,818
118,FL- FORT LAUDERDALE,502183,3701,503417,4030,504725,4079,503978,4207,500036,4318,503778,4337,510637,4519,515289,4606,525302,4890,539551,4920,556889,5099,572920,5195
119,FL- FORT MYERS,219288,1136,225006,1248,230504,1286,234125,1348,236577,1375,243419,1364,251436,1440,257663,1477,267696,1562,279867,1617,293530,1649,307252,1734
120,FL- GAINESVILLE,81082,899,83038,965,85404,977,88336,951,90887,977,92736,936,95573,949,97365,977,99565,995,102731,1010,105956,1009,109413,1058
122,FL- HUDSON,112041,506,112724,557,113173,537,113266,534,113058,538,113739,556,114747,546,115428,584,116472,567,118758,543,121502,544,124122,569
123,FL- JACKSONVILLE,192876,2043,197935,2296,203550,2343,210813,2441,217490,2610,224820,2754,232831,2965,239346,3074,248659,3318,260813,3441,274019,3538,286397,3623
124,FL- LAKELAND,59184,444,60466,438,61807,452,63167,464,64034,464,65296,481,66690,513,67799,537,69254,595,71565,577,73920,599,76017,615
127,FL- MIAMI,417219,3759,422200,4119,426970,4192,437015,4303,440918,4415,447445,4423,456863,4677,466365,4925,480203,5082,496295,5312,512789,5487,528681,5751
129,FL- OCALA,122875,694,128501,744,135253,776,142668,839,149002,893,155565,885,161682,889,166197,905,171802,944,178825,974,185388,992,191242,1025
130,FL- ORLANDO,540547,4302,554918,4592,567753,4641,579485,4897,588866,5120,601728,5260,617200,5642,630000,5814,647921,6151,673382,6392,703164,6610,733783,6863
131,FL- ORMOND BEACH,89257,588,91350,648,93002,637,93870,638,94683,670,96102,677,98167,700,99557,668,101772,694,105005,687,108958,705,112651,724
133,FL- PANAMA CITY,33705,297,34464,306,35028,313,35746,325,36099,343,36884,350,37805,357,38533,356,39786,376,41544,372,43308,407,44540,409
134,FL- PENSACOLA,116770,1043,120488,1079,123224,1102,124887,1169,126406,1247,129623,1217,133513,1326,136731,1383,140160,1445,145339,1481,151267,1534,157151,1558
137,FL- SARASOTA,112505,511,113625,581,114604,571,114855,604,114987,607,116527,619,112652,576,113782,576,116061,594,126250,638,123265,597,134830,653
139,FL- ST PETERSBURG,88706,598,87887,651,87237,639,86867,641,86039,650,86224,660,86901,716,87282,772,88698,775,90745,769,93330,838,95665,859
140,FL- TALLAHASSEE,102099,1325,103943,1404,106056,1408,109276,1447,112205,1482,115973,1508,118396,1600,120907,1635,124493,1677,128622,1658,133476,1661,138580,1670
141,FL- TAMPA,164216,1264,168296,1428,173201,1481,179121,1558,182529,1668,186888,1676,192258,1775,197081,1835,203870,1983,212738,2065,222618,2089,232250,2185
142,GA- ALBANY,30123,612,30235,614,30703,621,31444,640,32228,663,32761,676,33353,685,33960,709,34829,757,35894,769,36931,801,37067,796
144,GA- ATLANTA,541831,7210,558144,7761,576916,8133,605167,8591,631338,9094,659984,9562,690900,9907,718067,10320,749663,10886,789764,11365,837831,11526,880585,12024
145,GA- AUGUSTA,91437,1524,93280,1630,95459,1651,98303,1669,100969,1702,103877,1755,106187,1793,108726,1835,111715,1916,115327,1976,120177,2038,123748,2097
146,GA- COLUMBUS,46524,808,46754,836,46683,834,48191,888,47912,893,49743,925,50344,962,51160,968,52410,959,54650,954,56300,993,58819,1073
147,GA- MACON,105384,1623,107026,1708,108637,1710,111404,1772,114253,1807,117067,1844,119841,1969,121792,2031,124337,2179,127162,2252,131250,2333,135185,2418
148,GA- ROME,44326,337,45012,359,46026,420,47365,445,48484,480,49446,505,51113,503,51987,550,53275,593,54914,606,56323,637,58589,651
149,GA- SAVANNAH,103667,1380,106153,1461,108839,1474,112491,1482,115930,1528,119868,1519,124097,1541,127625,1618,131397,1692,137112,1717,143681,1746,149364,1776
150,HI- HONOLULU,179173,2327,182286,2404,185745,2563,189915,2662,193905,2829,198189,2881,203574,2967,209403,3068,215493,3133,223423,3186,231905,3238,239984,3402
190,IA- CEDAR RAPIDS,43987,271,44100,284,44641,294,45445,296,46169,317,47249,292,47836,301,48631,291,49442,274,50824,305,52383,327,53463,326
191,IA- DAVENPORT,83850,634,85052,644,85643,657,86981,700,88213,695,89618,732,90675,788,91688,786,92812,796,95311,788,97586,773,99049,786
192,IA- DES MOINES,165884,975,166878,959,168110,1026,170025,1109,171598,1138,173540,1147,176061,1184,177893,1169,180268,1202,184292,1210,189440,1180,194702,1212
193,IA- DUBUQUE,26557,221,27208,231,27556,242,27956,235,28332,241,28782,205,29182,201,29542,196,29853,194,29941,189,31245,186,32065,174
194,IA- IOWA CITY,50157,302,50347,304,50697,319,51733,348,52230,361,53333,354,54271,381,54900,346,55779,347,56277,319,58063,328,60081,343
195,IA- MASON CITY,30399,151,30290,148,30094,151,30100,153,30009,152,29387,148,29601,152,29638,143,29636,151,29987,150,30202,164,30535,158
196,IA- SIOUX CITY,45492,341,45203,353,45253,383,45380,360,45417,381,45419,389,45837,386,45778,383,45862,400,46290,382,46972,389,47348,417
197,IA- WATERLOO,37479,302,37748,305,37906,316,38190,293,38530,303,39188,314,39419,326,39534,345,39824,333,40433,333,41352,335,41999,338
151,ID- BOISE,95726,599,98934,613,102673,616,107364,653,111396,669,115705,699,119997,740,124320,761,128980,791,135187,813,142881,859,149421,896
152,ID- IDAHO FALLS,23290,169,23975,173,24567,161,25251,183,26162,192,27092,210,27851,217,28531,224,29370,224,30317,241,31333,248,32384,255
154,IL- AURORA,24410,286,25421,307,26456,312,26872,339,28000,390,29636,426,30913,458,32009,468,33219,498,34298,509,36110,519,37728,533
175,IL- BLOOMINGTON,23238,185,23655,208,24046,195,24500,173,24917,159,26010,188,26678,205,27123,200,27513,198,27927,194,28728,203,30004,215
155,IL- BLUE ISLAND,129827,1489,130520,1561,131205,1538,131785,1591,133170,1703,134895,1860,137135,1974,138724,2028,140818,2006,144049,2046,148305,2073,151372,2186
156,IL- CHICAGO,311360,4893,310366,5129,309458,5130,309254,5310,308800,5417,311102,5736,313535,5887,316065,5961,320851,6103,326890,6224,334384,6285,340765,6298
158,IL- ELGIN,64490,545,67227,594,70312,635,73638,674,77232,710,81900,789,86097,825,89423,847,93633,899,98500,915,103974,928,108967,945
161,IL- EVANSTON,145433,897,146719,1005,147466,999,148334,997,149865,1042,152296,1132,155003,1178,156587,1162,159355,1188,163447,1164,168221,1156,171412,1216
163,IL- HINSDALE,45172,395,46506,422,47548,431,50072,468,51704,467,53909,483,56213,508,58032,532,60476,569,63539,558,66936,576,69914,565
164,IL- JOLIET,71103,636,73907,684,76748,730,79577,809,82403,844,85079,918,87635,959,89657,995,92581,1064,96674,1045,100629,1087,103818,1088
166,IL- MELROSE PARK,165613,1573,166280,1643,166903,1650,167604,1694,168947,1805,171451,1896,174471,1870,177590,1867,181640,1896,187097,1934,193773,1921,199705,1954
170,IL- PEORIA,111392,891,111753,878,112071,862,112815,880,113402,873,114278,871,115908,874,116596,863,116912,871,119130,861,121747,866,123229,908
171,IL- ROCKFORD,107887,774,109589,770,111513,851,113835,868,116175,914,118911,973,121907,962,124037,957,126264,1010,130272,1039,133767,1098,136843,1120
172,IL- SPRINGFIELD,151818,1151,152541,1177,153207,1172,154354,1170,155567,1192,157379,1248,159264,1298,160569,1255,161756,1282,165024,1302,168404,1328,171372,1338
173,IL- URBANA,68991,470,69511,474,69823,459,70502,461,71069,497,72078,525,73087,549,73732,538,74681,529,76159,578,77911,562,79329,564
179,IN- EVANSVILLE,119582,876,120889,925,121872,955,123245,983,124524,1022,125828,1021,127949,1031,129145,1027,130608,1035,132901,1050,136384,1044,138675,1143
180,IN- FORT WAYNE,123637,1004,125181,1063,127000,1040,129352,1114,131558,1103,135952,1143,138868,1205,141672,1205,145050,1209,149015,1251,154190,1204,157205,1265
181,IN- GARY,75962,1014,77197,1074,78374,1091,79971,1141,81411,1133,83127,1177,84396,1187,85866,1214,87418,1226,89842,1251,92690,1258,95337,1285
183,IN- INDIANAPOLIS,378214,3304,384438,3499,390222,3489,398496,3823,406492,3990,415768,4216,426896,4384,435787,4405,446069,4587,459257,4609,475820,4728,491271,4903
184,IN- LAFAYETTE,27545,158,28048,172,28431,168,29188,185,29688,184,30382,224,31180,243,31889,241,32686,250,33800,260,34898,285,35841,305
185,IN- MUNCIE,28758,203,28986,228,29249,231,29584,235,29982,252,30410,250,31026,244,31538,244,31993,255,32765,260,33735,266,34310,279
186,IN- MUNSTER,48475,573,48721,581,48549,539,48580,563,48750,597,49070,646,49438,654,49649,695,49964,685,50876,702,52037,704,53061,775
187,IN- SOUTH BEND,101657,711,102785,740,103781,756,105158,808,106664,874,107565,887,110363,897,112266,892,114473,896,118482,880,122112,884,125066,927
188,IN- TERRE HAUTE,31561,194,31442,211,31406,212,31710,210,32140,233,32456,275,32739,287,33123,293,33500,281,33983,313,34704,342,35378,372
200,KS- TOPEKA,67670,435,68154,464,68856,466,69671,475,70333,497,71223,509,71994,513,72831,496,74743,521,76017,532,77944,542,80134,569
201,KS- WICHITA,206325,1401,206524,1460,207048,1485,208579,1590,209644,1589,211477,1603,213500,1644,215668,1645,217777,1681,222107,1749,227164,1774,231087,1819
203,KY- COVINGTON,50072,414,50839,437,51996,480,53659,529,54926,548,56378,576,57990,587,58814,568,60245,536,62846,557,65479,571,66931,573
204,KY- LEXINGTON,240254,1563,245531,1665,250416,1775,257893,1911,263646,1931,270832,2019,277806,2057,283044,2137,289821,2226,298352,2159,308026,2151,315845,2245
205,KY- LOUISVILLE,259168,1878,262438,1983,267092,2053,273563,2310,279479,2481,286104,2607,292683,2739,299258,2817,306184,2908,317447,3039,327755,3035,337346,3102
207,KY- OWENSBORO,24338,177,24638,180,25202,178,25883,192,26436,185,27251,197,27825,190,28272,195,28848,207,29831,220,30950,217,31564,189
208,KY- PADUCAH,73283,493,74046,523,74788,514,76321,572,77733,581,79154,616,80469,627,81513,636,82570,664,83990,691,85906,658,87343,657
209,LA- ALEXANDRIA,47454,457,47605,478,47967,459,49870,495,50689,496,51382,469,51886,481,52737,531,54127,550,54472,549,55682,555,56957,578
210,LA- BATON ROUGE,101083,1582,103271,1714,105600,1735,115280,1883,119197,1961,122322,1964,125347,1948,127967,1933,132570,2034,137708,2051,142245,2058,148505,2166
212,LA- HOUMA,36435,485,37822,501,38685,482,40497,483,41346,521,42147,540,42918,537,43475,512,43704,507,45077,525,46260,506,48215,542
213,LA- LAFAYETTE,85261,1052,86422,1169,87663,1177,91705,1223,93081,1218,94610,1235,96141,1282,97318,1307,98736,1303,101714,1287,104473,1260,107276,1267
214,LA- LAKE CHARLES,36346,464,37087,465,37706,486,38113,455,38389,427,39247,412,40455,426,41073,443,42162,468,43677,468,45245,434,46303,486
216,LA- METAIRIE,64719,694,66056,738,67425,776,69013,791,71787,854,73443,866,75247,888,76628,907,78381,921,80835,925,83724,930,86129,963
217,LA- MONROE,43284,646,43551,688,43782,711,44915,736,45352,724,45494,738,46451,744,46749,749,46654,762,48297,778,49712,750,50866,768
218,LA- NEW ORLEANS,116894,2109,116659,2172,116792,2230,74454,1349,75392,1228,80747,1390,85822,1501,89387,1648,93894,1783,98590,1908,103211,1921,106459,2055
219,LA- SHREVEPORT,106899,1701,107769,1758,108412,1784,111209,1867,112616,1905,114539,1923,115955,1970,117256,1956,118823,2018,121610,2000,124429,2016,127798,2047
220,LA- SLIDELL,26084,279,26884,276,28736,319,28014,316,28265,307,30447,312,31472,370,32376,374,33389,408,34828,405,36374,421,37682,441
227,MA- BOSTON,735843,4695,737157,4908,738306,5013,743260,5119,751166,5221,764068,5267,779770,5386,792882,5370,809875,5476,833761,5474,860992,5544,885760,5669
230,MA- SPRINGFIELD,124765,896,125216,937,126336,986,126981,985,128871,983,130553,997,133520,975,135583,986,138581,1030,142187,1031,146841,1014,151116,1037
231,MA- WORCESTER,119027,599,118357,604,119519,664,120613,671,121981,674,124503,695,126869,711,128461,698,131086,729,135101,721,139827,747,143899,749
223,MD- BALTIMORE,347816,4574,350825,4758,353222,4769,357374,4862,361939,4971,368578,4944,375221,4993,381102,5122,388605,5213,401354,5274,415378,5234,429583,5295
225,MD- SALISBURY,74359,731,76624,790,78554,839,81199,913,83735,957,86724,935,89777,923,92254,978,94742,978,98138,996,102593,1014,106593,1057
226,MD- TAKOMA PARK,90201,1209,91383,1271,92679,1351,94454,1412,95891,1510,98272,1563,100934,1592,103448,1588,107077,1624,110802,1671,117305,1629,121598,1626
221,ME- BANGOR,77040,297,78326,353,79943,398,80979,413,82457,435,84841,418,86620,454,88070,458,89483,457,92004,453,95534,471,97731,468
222,ME- PORTLAND,176582,1071,179589,1129,182644,1176,186767,1185,190372,1179,196034,1143,201360,1179,205868,1134,210896,1090,218058,1055,226456,1060,234469,1052
232,MI- ANN ARBOR,178337,1322,180766,1447,184175,1632,188036,1767,192855,1867,198552,1942,205514,1975,211056,2041,217392,2068,225942,2143,236293,2118,245379,2227
233,MI- DEARBORN,87007,660,86827,697,86431,739,86409,772,86771,819,87633,819,88542,862,89114,832,90693,892,92680,905,95331,910,97217,903
234,MI- DETROIT,284269,4311,282938,4459,282636,4767,282922,4884,283650,4929,285471,4897,288318,4973,290279,4909,293978,5016,300631,5006,307172,4933,312673,5010
235,MI- FLINT,83460,914,85386,973,87021,1091,89132,1175,91371,1220,93980,1216,96247,1277,99424,1358,102319,1330,104639,1320,108458,1288,112342,1316
236,MI- GRAND RAPIDS,150824,975,154348,1022,157354,1151,161144,1271,165430,1257,168934,1310,174205,1350,178404,1403,183399,1432,189364,1467,196823,1432,204037,1483
238,MI- KALAMAZOO,101099,841,102855,858,104674,920,106662,939,108632,968,111126,940,113647,991,115855,991,118418,977,122297,1009,126316,1052,130060,1075
239,MI- LANSING,90649,737,92190,753,93740,917,95740,988,98056,984,101997,1051,105665,1035,107671,997,110561,1015,115227,1023,119707,1054,123029,1054
240,MI- MARQUETTE,39929,234,40253,220,40429,225,41076,255,41445,272,42203,259,42945,254,43614,272,44339,294,45061,265,46235,251,46964,230
242,MI- MUSKEGON,45175,364,46100,364,47047,386,47488,427,48217,407,49271,405,50472,419,51606,405,52774,430,55075,432,56989,445,58406,461
243,MI- PETOSKEY,33489,170,34211,168,35196,179,35838,183,35428,177,37765,185,38835,186,39633,193,40457,186,41634,189,43160,204,44805,212
244,MI- PONTIAC,53210,473,54799,489,56537,549,58430,578,60686,643,63271,670,65786,701,68084,713,70685,704,74356,699,78275,706,81325,721
245,MI- ROYAL OAK,101610,767,102757,816,103143,903,104731,979,106532,993,109153,996,112237,1073,114593,1136,117883,1268,122453,1336,127205,1353,131319,1349
246,MI- SAGINAW,124694,859,126704,891,128523,948,130660,1023,134130,1073,135708,1112,138466,1098,140900,1108,143405,1112,146842,1130,150590,1163,153981,1191
248,MI- ST JOSEPH,25438,211,25845,220,26178,246,26508,271,26771,285,27168,316,27626,332,28030,324,28475,328,28987,324,29838,320,30570,327
249,MI- TRAVERSE CITY,44549,211,45511,204,46825,212,47991,225,49153,244,50701,255,52295,267,53609,271,55094,313,56844,323,59034,325,60858,334
250,MN- DULUTH,64848,367,65418,359,65758,370,66246,392,67092,401,68161,411,69291,420,70308,390,71123,394,72613,391,74562,408,75958,369
251,MN- MINNEAPOLIS,405317,2591,411131,2619,418146,2891,424894,3064,435323,3278,448785,3310,461351,3387,472621,3452,485842,3529,501910,3502,520715,3466,537464,3446
