hrr,hrr_lab,pop2002,esrdstat2002,pop2003,esrdstat2003,pop2004,esrdstat2004,pop2005,esrdstat2005,pop2006,esrdstat2006,pop2007,esrdstat2007,pop2008,esrdstat2008,pop2009,esrdstat2009,pop2010,esrdstat2010,pop2011,esrdstat2011,pop2012,esrdstat2012,pop2013,esrdstat2013
253,MN- ROCHESTER,65659,437,66215,429,67034,445,68018,442,69245,456,71575,469,72489,451,74163,453,75457,429,76787,449,78718,440,80632,458
254,MN- ST CLOUD,33180,163,33843,149,34550,177,37013,189,37570,210,37150,212,38010,209,38821,225,39830,236,41034,224,42568,232,43835,229
256,MN- ST PAUL,121095,840,123000,870,125357,982,128403,1082,131453,1120,135562,1119,140058,1128,143783,1139,148266,1177,154171,1196,161108,1210,167690,1248
263,MO- CAPE GIRARDEAU,49143,424,49737,452,50318,479,51138,487,51802,510,52488,509,53314,510,53930,495,53993,465,55178,485,56816,503,57303,498
264,MO- COLUMBIA,111705,763,113023,760,114421,754,116407,791,118227,814,120444,786,122466,797,124558,850,126898,850,129072,816,134754,827,136541,801
267,MO- JOPLIN,64836,358,65430,353,66275,386,67370,405,67954,420,69023,424,70131,429,71934,430,73025,429,74247,420,75827,450,76726,501
268,MO- KANSAS CITY,325673,2951,329906,3006,334746,3054,341124,3083,347483,3233,354250,3300,362807,3365,369746,3369,377970,3444,390653,3417,405176,3457,417316,3536
270,MO- SPRINGFIELD,149494,850,152965,891,156670,925,161685,958,166969,1010,171205,1055,175587,1084,178664,1072,182800,1103,188061,1113,194042,1129,198543,1176
273,MO- ST LOUIS,527143,4948,530612,5105,535336,5300,541903,5438,549373,5729,559048,5944,569020,6143,576271,6320,586966,6402,600333,6465,616033,6475,634510,6551
257,MS- GULFPORT,29598,358,30502,346,30632,361,27641,346,28481,376,28036,390,28994,421,29615,423,30674,435,32072,445,33592,477,34931,481
258,MS- HATTIESBURG,47191,656,47387,635,48264,651,49964,688,50979,704,51777,721,53021,745,53792,751,54286,753,55755,759,57717,773,58083,778
259,MS- JACKSON,162494,2338,163531,2471,165754,2586,170903,2731,173187,2903,175174,2955,177096,3033,179131,3095,181657,3143,186559,3171,191838,3162,195377,3225
260,MS- MERIDIAN,35390,448,36437,459,36714,465,37419,490,37786,491,38245,514,38560,527,38786,534,38650,559,39341,554,40044,570,41098,597
261,MS- OXFORD,24064,298,24355,315,24700,319,25397,341,25833,344,26252,357,26838,370,27235,377,27750,386,28427,382,29177,379,29785,402
262,MS- TUPELO,64050,635,65514,663,66934,693,68511,710,69899,741,71291,771,72680,810,73832,856,75313,878,77736,942,79092,944,81553,950
274,MT- BILLINGS,80469,491,81725,522,83049,545,84906,561,87292,557,89195,547,91572,556,93437,544,96023,562,99283,564,103359,587,106897,581
275,MT- GREAT FALLS,25019,177,25261,190,25485,206,25765,188,25656,189,26557,196,27059,203,27426,206,27984,214,28370,206,29100,213,29818,227
276,MT- MISSOULA,58436,303,59756,290,60987,289,62748,307,64625,336,66893,342,69358,323,71286,320,73815,319,76829,332,80511,333,84191,368
309,NC- ASHEVILLE,125222,722,127760,718,130285,739,133360,806,136779,838,140162,823,143604,806,146975,791,150275,826,155057,857,160600,873,165656,883
311,NC- CHARLOTTE,276167,2925,282705,3134,288947,3201,298891,3424,310875,3604,323115,3758,335351,3916,344954,3978,357226,4173,372165,4256,391533,4323,405563,4432
312,NC- DURHAM,203125,2631,208029,2827,210360,2923,214016,3003,220301,3114,226107,3216,231923,3335,232130,3313,238280,3454,243715,3459,251546,3483,258207,3584
313,NC- GREENSBORO,86754,1062,87032,1082,88941,1104,93105,1154,93672,1135,96559,1157,99391,1186,101915,1196,104321,1234,110111,1273,114276,1295,118622,1343
314,NC- GREENVILLE,121759,1848,124218,1912,126558,1905,129267,1903,130953,1927,134245,1888,139142,1932,141950,1943,144928,1973,152715,2110,157484,2116,161946,2157
315,NC- HICKORY,43481,392,44578,416,47265,437,48796,474,50675,473,52441,462,54282,459,55730,461,57296,480,58945,480,59238,472,63101,504
318,NC- RALEIGH,206118,2868,212384,3093,220167,3271,228003,3415,236985,3584,247877,3700,256922,3778,270296,3888,280755,4071,288950,4133,303242,4157,315093,4304
319,NC- WILMINGTON,64355,624,66572,645,68723,683,71821,741,74550,779,77393,779,79157,802,81318,827,84500,818,87833,828,92520,865,97155,872
320,NC- WINSTON-SALEM,173362,1541,176991,1630,180949,1698,186266,1858,191034,1905,196411,1999,202194,2092,206942,2103,212277,2157,218874,2184,227082,2183,233420,2179
321,ND- BISMARCK,37322,227,37806,231,37859,262,38138,278,38480,299,38981,306,39320,342,39568,336,40026,341,40643,337,41413,333,42208,328
322,ND- FARGO MOORHEAD -MN,84910,549,85447,551,85999,595,87046,630,88211,684,89648,703,91581,731,92618,741,93996,788,96595,815,99208,788,102513,803
323,ND- GRAND FORKS,27399,175,27522,193,27592,222,27663,224,27777,225,27946,227,28302,234,28821,251,29009,251,29040,233,29493,227,29939,230
324,ND- MINOT,22527,156,22422,149,22270,150,22231,143,22318,158,22198,153,22303,148,22370,152,22331,150,22183,151,22067,152,22050,160
277,NE- LINCOLN,92370,653,92888,650,93271,690,93955,688,95012,711,95952,687,97504,664,98505,662,99207,672,100943,637,103889,610,106095,599
278,NE- OMAHA,187319,1450,188252,1470,189761,1456,191662,1499,194215,1570,197495,1594,200587,1602,203677,1609,206609,1617,210606,1602,216193,1618,221268,1660
281,NH- LEBANON,70220,359,71133,379,72381,383,73818,407,75349,385,77372,380,79214,394,81085,385,83347,402,86568,373,90215,367,92417,359
282,NH- MANCHESTER,116474,612,118747,629,121733,673,125003,669,128609,694,132887,692,137605,684,141567,692,146380,705,152907,702,160359,679,167513,720
283,NJ- CAMDEN,463120,4291,467187,4380,470931,4518,476092,4680,481568,4826,490444,4869,500563,5131,507621,5219,516842,5280,531373,5446,547978,5510,560715,5555
284,NJ- HACKENSACK,190616,1643,190165,1721,189294,1712,189067,1791,190048,1818,192173,1809,194463,1841,196286,1875,199028,1909,203505,1925,208637,1954,212648,1992
285,NJ- MORRISTOWN,135107,989,136541,1041,137904,1063,139493,1062,141386,1110,144576,1176,148523,1231,151375,1225,154888,1259,159560,1262,166052,1282,169815,1279
288,NJ- NEW BRUNSWICK,128030,1226,129114,1336,130625,1325,132721,1311,135162,1324,138514,1346,141029,1388,143452,1386,146874,1460,151661,1474,156817,1476,161628,1532
289,NJ- NEWARK,202103,3155,200128,3255,198324,3372,197347,3477,196756,3595,197618,3607,198699,3704,200158,3766,202997,3760,207661,3835,212695,3887,216915,3977
291,NJ- PATERSON,53539,669,54013,674,54384,663,55172,705,56293,709,57607,706,59238,736,60153,785,61391,834,63107,857,64916,878,65689,872
292,NJ- RIDGEWOOD,57495,485,57863,474,57819,498,58416,484,59073,493,60234,518,61646,525,62732,534,64111,537,65645,551,67958,566,70269,559
293,NM- ALBUQUERQUE,206628,2357,212542,2469,218905,2550,228126,2690,236337,2783,245074,2843,253354,2963,261285,3033,270192,3096,281635,3129,294264,3162,305215,3163
279,NV- LAS VEGAS,208291,1723,218873,1930,227184,2080,234965,2196,242576,2352,251193,2537,260563,2748,268350,2812,276942,3027,290712,3218,306252,3355,322507,3520
280,NV- RENO,92530,551,96156,608,99536,664,102369,674,105162,714,109249,738,113292,779,117176,798,121729,880,127917,937,134593,961,139697,1014
295,NY- ALBANY,305403,2061,307839,2162,309594,2123,313491,2237,317329,2282,323663,2352,329169,2455,334131,2461,339817,2509,350739,2562,363681,2598,371112,2665
296,NY- BINGHAMTON,69391,398,69624,442,70162,440,70802,472,71760,510,73112,521,73724,554,74941,545,75856,556,76582,518,78276,504,80121,461
297,NY- BRONX,149146,2312,152133,2508,153254,2515,155186,2630,156881,2703,159911,2707,161155,2765,163978,2787,167991,2863,175854,2949,181133,3020,185767,3114
299,NY- BUFFALO,259746,1866,259789,1912,259149,1942,260133,2056,261420,2044,264705,2130,268824,2236,270419,2259,273472,2297,278074,2293,283590,2232,288384,2217
301,NY- EAST LONG ISLAND,690066,6183,691199,6559,692315,6482,695060,6838,698821,6887,708063,7121,719445,7333,728399,7435,741072,7556,759835,7657,781814,7690,799647,7874
300,NY- ELMIRA,65518,488,65178,468,65131,466,65525,479,66055,498,66228,528,67056,569,67686,570,68326,609,69052,593,70593,586,71517,602
303,NY- MANHATTAN,654181,7317,656769,7988,659974,8035,664110,8126,667410,8149,674407,8364,683091,8673,688247,8696,700564,8762,718518,8771,737233,8769,754619,8847
304,NY- ROCHESTER,202418,1561,204549,1645,206851,1653,209759,1737,213049,1829,218118,1875,223750,1955,228132,2006,232397,2034,239516,2065,247390,2064,253963,2107
307,NY- SYRACUSE,172035,1299,173531,1327,174230,1301,176346,1378,178681,1391,181698,1418,185048,1462,187251,1484,190466,1503,194947,1507,199904,1484,204249,1499
308,NY- WHITE PLAINS,167082,1522,165622,1576,166156,1541,167110,1585,168516,1581,171149,1646,176229,1651,178701,1636,182166,1646,184353,1671,188453,1686,194505,1751
325,OH- AKRON,110034,898,110504,948,110860,983,111452,1025,112389,1048,114216,1108,116191,1098,117574,1130,119200,1172,122614,1179,126737,1183,130126,1201
326,OH- CANTON,106752,671,107496,744,108574,756,110503,828,111890,865,113934,885,115509,950,117122,994,119334,1011,123122,1013,126709,986,129222,986
327,OH- CINCINNATI,236386,2081,238112,2218,240166,2265,243168,2411,246491,2604,251173,2706,255904,2879,259446,2940,263820,2982,272034,3043,280451,3056,289373,3160
328,OH- CLEVELAND,357070,3707,356994,3937,357375,4014,358434,4205,359878,4313,364249,4411,370846,4435,373830,4405,378794,4567,385575,4544,396389,4569,404769,4564
329,OH- COLUMBUS,401310,3285,406748,3483,412546,3525,419854,3748,428355,3954,438471,4107,450269,4265,458503,4352,470368,4498,483983,4624,502945,4674,518257,4715
330,OH- DAYTON,178589,1719,180122,1786,181258,1819,182900,1920,184703,1917,187512,1951,190081,1966,192132,1932,194944,1970,199434,1969,205079,2012,209735,2049
331,OH- ELYRIA,38334,375,38896,393,39602,373,40334,413,41357,453,42507,478,43727,461,44461,475,45561,488,47151,471,49024,464,50803,476
332,OH- KETTERING,64350,458,65623,468,66756,487,68337,520,69732,536,71186,542,72934,573,74099,554,75781,557,77806,589,80416,609,82830,601
334,OH- TOLEDO,154805,1462,156475,1570,157370,1617,158924,1714,160614,1690,162987,1764,166097,1858,168459,1884,171772,1970,177207,2017,183028,2015,187829,2020
335,OH- YOUNGSTOWN,135827,1152,135795,1172,134984,1164,135226,1181,136424,1250,137765,1305,137570,1305,138235,1350,139054,1371,142638,1407,145974,1452,148456,1471
336,OK- LAWTON,30024,290,30362,305,30514,319,30844,333,31065,321,31451,345,31881,389,32238,370,32692,377,33345,351,34018,320,34534,350
339,OK- OKLAHOMA CITY,261409,2139,265038,2289,268797,2320,274651,2467,280287,2513,286484,2537,293436,2686,298745,2734,304771,2876,312950,2876,321843,2849,329354,3007
340,OK- TULSA,199771,1714,202603,1819,206182,1842,211390,1936,216200,1964,221487,2013,226789,2040,230894,2111,235439,2209,241081,2292,248268,2278,255749,2431
341,OR- BEND,30425,139,31668,147,32998,139,34746,157,35873,170,37443,170,39018,179,40821,213,42399,211,44932,215,47687,235,50631,255
342,OR- EUGENE,119129,565,121824,611,125069,628,128721,677,131648,704,135190,749,138873,785,142291,836,145963,858,150810,884,156545,891,161185,871
343,OR- MEDFORD,83883,378,85412,389,87018,369,88668,384,90553,400,92281,391,94756,402,97107,396,99495,434,104110,443,107722,454,109480,513
344,OR- PORTLAND,319464,2323,326071,2529,333502,2648,342802,2740,351424,2748,362671,2768,375107,2875,386739,2936,401215,3089,419397,3209,439824,3301,458483,3352
345,OR- SALEM,42799,307,43434,326,44084,340,45486,328,46579,339,47914,336,49132,356,50123,342,51406,365,53358,362,55678,397,58776,442
346,PA- ALLENTOWN,195608,1470,198095,1481,200650,1549,203851,1598,207508,1610,212242,1654,217097,1683,220383,1742,223603,1806,230916,1829,236635,1782,243671,1841
347,PA- ALTOONA,58211,423,57761,432,58222,438,59886,462,60883,476,62065,483,62913,480,63639,508,64539,537,67357,546,67322,537,69635,555
350,PA- DANVILLE,96286,558,98450,584,99386,569,100064,613,101341,640,103038,630,105231,678,106320,713,107606,745,109248,702,111469,694,113945,728
351,PA- ERIE,137370,1041,138396,1064,139259,1137,140719,1200,142552,1176,145169,1177,147193,1120,148588,1156,150551,1086,153411,1087,157070,1081,160156,1070
352,PA- HARRISBURG,161127,1141,164043,1217,166544,1216,169954,1238,173513,1258,177722,1313,182184,1350,185593,1384,189794,1417,194054,1393,202076,1468,208602,1568
354,PA- JOHNSTOWN,51021,334,50445,335,50965,345,51076,350,51755,362,51871,400,52269,416,52394,444,52690,442,53592,445,54241,408,54077,390
355,PA- LANCASTER,93719,529,94492,550,96762,565,99463,631,102084,636,106333,620,109562,647,111828,673,114771,709,117800,749,122477,772,126396,826
356,PA- PHILADELPHIA,639312,6826,639704,6974,638728,7046,641171,7128,644352,7296,652770,7326,661469,7363,668808,7546,678625,7648,694165,7900,714183,7859,731107,7928
357,PA- PITTSBURGH,597972,4788,597737,4949,596724,4988,597212,5110,598642,5192,604133,5265,608710,5207,609287,5323,611893,5354,621357,5320,634114,5302,644130,5361
358,PA- READING,99426,629,100327,649,101287,650,102275,651,103551,664,103855,646,105670,675,106872,703,108392,715,112191,753,115359,797,118237,863
359,PA- SAYRE,36069,202,36496,198,36833,224,37301,227,38002,239,39001,237,40116,245,40877,252,41297,244,41800,278,43069,266,43318,249
360,PA- SCRANTON,67654,371,67836,376,68113,379,68486,418,69038,414,69879,417,70793,439,71212,428,71968,486,73405,475,75083,488,76088,474
362,PA- WILKES-BARRE,54362,318,53263,312,52841,318,52790,330,52874,333,53133,330,53469,355,53533,342,54432,379,54318,376,56962,380,56938,388
363,PA- YORK,63218,351,64517,374,66131,408,67925,439,69835,480,71914,511,74012,536,75597,522,77450,518,80092,525,83298,506,85811,550
364,RI- PROVIDENCE,200458,1373,200653,1419,201416,1415,202409,1463,203705,1397,206477,1393,209830,1428,212358,1452,215921,1442,221496,1452,227933,1464,233410,1497
365,SC- CHARLESTON,132769,1701,137710,1833,143946,1951,150408,2043,153681,2108,160289,2193,167833,2276,174239,2350,181613,2390,191403,2379,202842,2431,211712,2484
366,SC- COLUMBIA,162344,2363,165291,2446,168857,2589,174725,2675,179488,2791,185173,2852,190296,2949,196026,2967,202136,3018,208371,2996,217346,3019,223679,3194
367,SC- FLORENCE,57004,828,57938,861,57607,910,59183,942,62701,1051,64259,1146,66372,1190,67275,1214,68612,1280,71916,1311,74445,1330,78866,1395
368,SC- GREENVILLE,129576,1267,132674,1338,136463,1401,141755,1449,146285,1473,151301,1493,156545,1507,160906,1487,165260,1550,170856,1534,177188,1505,184940,1596
369,SC- SPARTANBURG,61367,606,62714,628,64012,648,65422,641,67210,670,69146,699,71358,722,72878,734,74651,741,77238,745,79734,808,81357,817
370,SD- RAPID CITY,31613,278,31878,294,32583,292,33362,304,34111,301,35200,338,36303,335,37427,308,38348,330,39733,331,41306,328,42982,354
371,SD- SIOUX FALLS,133999,877,134631,819,134994,907,136202,918,137064,931,138640,873,140254,854,140743,855,142079,899,144211,871,147167,905,151017,933
373,TN- CHATTANOOGA,106048,998,107982,1010,110395,970,113535,984,117944,1024,121391,1073,124240,1102,127161,1125,130389,1178,134146,1254,139183,1260,144405,1313
374,TN- JACKSON,60217,605,60707,642,61352,648,62367,637,63365,652,64791,688,65920,701,66851,750,68154,823,69938,851,71935,847,73552,845
375,TN- JOHNSON CITY,44554,242,45687,237,46771,259,48185,260,49733,273,51293,277,52584,302,53942,311,55129,316,56944,321,58794,311,62533,331
376,TN- KINGSPORT,104558,546,105907,529,108405,545,111277,594,113583,551,115947,523,117114,542,119942,592,121223,595,123336,599,125965,574,127060,588
377,TN- KNOXVILLE,226349,1438,231970,1481,237304,1524,244712,1596,252766,1687,260875,1835,269491,1923,274685,1984,281320,2120,292540,2243,302916,2338,308462,2375
379,TN- MEMPHIS,243599,3809,246489,3887,249973,4055,255725,4246,258968,4323,263842,4477,269678,4676,274151,4802,280041,5017,287544,5224,298421,5377,306978,5553
380,TN- NASHVILLE,346640,3088,354914,3179,363931,3244,377630,3384,388449,3564,400792,3676,415120,3786,425577,3871,438484,3979,455182,4074,474444,4130,491126,4265
382,TX- ABILENE,52539,369,52840,386,53156,375,53455,370,53898,401,54395,404,55190,431,55692,437,56458,462,57362,493,58480,511,59234,529
383,TX- AMARILLO,63154,535,62790,553,63326,550,63760,610,64334,602,64926,604,65702,607,66259,601,66962,615,68255,661,69678,656,70785,684
385,TX- AUSTIN,121824,1512,126702,1594,132518,1616,140573,1776,148206,1809,156316,1874,164989,1941,170363,1960,179970,2063,191893,2157,203968,2219,216101,2297
386,TX- BEAUMONT,74999,842,75310,862,76142,874,76495,863,76923,866,78076,862,79046,897,79630,936,80769,935,82483,970,84461,982,86227,1038
388,TX- BRYAN,25345,242,25486,259,25982,271,26743,269,27549,293,28408,303,29449,323,30264,354,31205,386,32433,424,33804,462,35046,471
390,TX- CORPUS CHRISTI,74276,1326,75409,1363,76765,1443,78640,1550,80298,1603,81888,1598,83846,1649,85813,1704,87836,1783,90711,1823,93526,1881,95945,1910
391,TX- DALLAS,408875,5222,419757,5480,433167,5765,451525,6085,469342,6378,487949,6669,508415,6864,526553,7037,547930,7398,573685,7678,603407,7831,632652,8137
393,TX- EL PASO,121384,1786,124449,1888,127642,1959,132229,2066,136618,2232,141182,2349,145795,2451,149783,2525,154486,2624,159714,2710,165464,2755,170649,2915
394,TX- FORT WORTH,198920,2193,204051,2349,210577,2504,219105,2684,227090,2794,235953,2945,245493,3064,254150,3211,264052,3447,277368,3643,291989,3823,303784,4022
396,TX- HARLINGEN,56808,1039,57878,1132,59284,1253,61207,1403,62944,1453,63638,1500,65664,1561,68477,1608,70670,1704,73785,1766,76155,1773,79139,1865
397,TX- HOUSTON,533536,7688,548178,8172,564769,8626,591545,9144,611839,9618,635962,10007,659656,10419,682306,10836,709855,11335,745448,11900,785167,12314,821190,12889
399,TX- LONGVIEW,30954,310,31545,322,32111,331,32849,362,34729,381,34054,355,34712,374,35121,355,35820,368,37287,389,38227,412,39062,429
400,TX- LUBBOCK,96151,1117,96616,1105,96886,1141,97919,1178,98754,1181,100001,1224,101429,1288,102460,1318,103508,1352,104763,1376,106863,1370,108572,1364
402,TX- MCALLEN,51241,1031,52825,1105,54788,1181,57140,1275,59148,1413,62668,1515,65279,1591,66558,1670,69437,1734,72138,1761,75421,1807,77716,1846
406,TX- ODESSA,43481,458,43923,458,44475,455,45042,490,45754,501,46068,516,46718,551,47094,538,47775,567,48894,581,49587,586,50026,639
411,TX- SAN ANGELO,25977,172,26059,182,26173,199,26499,235,26880,239,27339,269,27821,288,28083,282,28446,296,29069,313,29831,321,30369,322
412,TX- SAN ANTONIO,294306,4545,301250,4965,309269,5211,320594,5612,331019,5807,342521,6041,355799,6289,367294,6610,380374,6907,396960,7066,414835,7313,430835,7576
413,TX- TEMPLE,44164,513,45437,567,46796,565,48622,591,50314,616,52110,608,53779,635,57963,694,60182,744,63220,798,66460,781,69669,810
416,TX- TYLER,88795,793,90611,812,93115,873,95874,944,96824,950,100597,999,102992,1011,105139,1004,107234,1013,109976,984,113326,1033,114401,1116
417,TX- VICTORIA,24555,240,24757,267,25024,286,25367,306,25788,300,26126,314,26608,333,27064,354,27316,372,27968,381,28769,394,29363,397
418,TX- WACO,52462,501,52871,540,53391,527,54032,535,54759,517,55255,522,56366,540,57184,546,58174,587,60028,600,61189,624,62741,640
420,TX- WICHITA FALLS,34247,210,34232,217,34363,235,35113,254,35169,239,35925,240,36284,277,36639,279,37071,320,37530,305,38209,320,38956,349
421,UT- OGDEN,40434,305,41396,300,42363,329,43632,342,45158,367,46948,378,48778,386,50263,401,51812,420,53959,406,56832,407,59251,419
422,UT- PROVO,37455,269,38399,270,39785,283,41674,304,43476,320,45363,337,47219,309,48889,323,50753,345,52771,377,54757,387,57502,392
423,UT- SALT LAKE CITY,186879,1307,191783,1315,197158,1388,204525,1460,211273,1524,218359,1563,225896,1637,232782,1708,241704,1774,251240,1795,262160,1834,272635,1908
426,VA- ARLINGTON,161179,1580,165813,1740,169831,1780,176900,1862,182735,1969,190604,2027,200251,2114,209403,2118,219199,2171,231374,2170,245879,2130,257523,2171
427,VA- CHARLOTTESVILLE,80761,839,82671,849,84614,861,87094,873,89451,896,92080,898,94717,922,96899,924,99410,914,102888,896,106926,902,111335,942
428,VA- LYNCHBURG,42953,476,43273,501,44121,518,45253,549,47149,595,48346,620,49678,644,50766,648,51957,671,56991,681,55464,631,59731,647
429,VA- NEWPORT NEWS,73892,996,75679,1023,77304,1047,79409,1042,81624,1090,84147,1119,86866,1168,88970,1191,91650,1190,94147,1193,97795,1184,101108,1219
430,VA- NORFOLK,156183,2428,158435,2524,160820,2660,163489,2698,165930,2760,169820,2754,174012,2790,177703,2737,181655,2754,187404,2785,194198,2737,200688,2843
431,VA- RICHMOND,213580,2688,218411,2859,222765,2958,229179,3088,234674,3249,241895,3253,248935,3301,255344,3398,262355,3500,273573,3586,285616,3615,296326,3700
432,VA- ROANOKE,130694,1040,132385,1089,134405,1129,137354,1133,140441,1182,143475,1172,146413,1195,148547,1204,151200,1221,151393,1190,158705,1187,160146,1220
435,VA- WINCHESTER,56665,443,58344,466,60450,506,62328,503,64410,518,66839,559,69067,605,70883,595,73406,613,76874,607,81223,615,84984,653
424,VT- BURLINGTON,95115,658,96836,657,98927,662,100588,683,102517,737,105861,785,108750,795,111176,808,114328,785,117295,739,121726,739,125886,743
437,WA- EVERETT,76011,522,78399,561,81047,586,84048,634,86986,670,90182,715,93599,723,97256,804,101308,865,106205,850,111734,893,116972,893
438,WA- OLYMPIA,55010,307,56564,334,58449,357,60683,361,63099,387,65542,374,67495,399,69709,425,71894,428,73632,443,76046,450,81221,457
439,WA- SEATTLE,321773,2247,327031,2386,333302,2457,342157,2575,350888,2675,361138,2659,372560,2669,386546,2806,401462,2955,419325,3058,439805,3063,456014,3151
440,WA- SPOKANE,204481,1326,209792,1394,215667,1452,222511,1541,230133,1584,238390,1623,246431,1707,253215,1750,260620,1836,269892,1821,280735,1846,291288,1880
441,WA- TACOMA,89764,718,91844,773,94141,808,97119,834,99757,876,103023,864,106248,883,109443,924,113058,985,118639,1069,124219,1120,128627,1182
442,WA- YAKIMA,35831,235,36447,265,36899,275,38011,289,38939,280,40050,297,41262,304,42361,316,43501,328,45024,334,46594,354,47933,366
446,WI- APPLETON,47939,318,48614,324,49435,368,49836,339,50914,354,52631,335,53281,346,54346,354,55581,387,57221,401,59023,384,60866,408
447,WI- GREEN BAY,80130,521,81193,531,82438,572,84090,557,85670,594,87583,620,89634,633,91661,629,93626,663,96480,663,99647,637,102844,680
448,WI- LA CROSSE,56867,382,57566,384,58280,414,58924,433,59849,450,60246,463,61572,491,61939,475,62931,479,65236,470,67160,484,68810,467
449,WI- MADISON,144166,878,146725,910,149402,1019,152115,1073,155186,1104,158783,1134,162936,1183,166487,1178,170896,1208,176512,1248,183218,1242,189128,1274
450,WI- MARSHFIELD,66954,387,67685,390,68564,464,69558,482,70499,471,71986,475,73301,478,74634,481,76168,493,78303,496,80425,491,82311,511
451,WI- MILWAUKEE,357798,3193,361047,3389,364693,3685,369430,3815,374094,4067,381006,4069,388315,4202,394718,4279,403141,4374,415087,4311,430309,4310,443227,4488
452,WI- NEENAH,37272,225,37655,234,38043,264,38756,286,39347,311,39964,331,40679,342,41272,344,42105,343,43130,326,44214,321,45300,331
456,WI- WAUSAU,33392,200,33918,207,34478,223,35766,255,36470,264,36886,264,38137,264,38766,269,39555,275,40559,264,41601,253,43170,254
443,WV- CHARLESTON,174966,1320,176319,1342,178359,1407,181143,1426,183627,1469,186442,1438,188848,1413,190249,1439,192467,1421,194283,1458,199286,1486,202519,1532
444,WV- HUNTINGTON,69340,442,70946,467,71907,491,73302,536,74451,544,76125,590,77058,643,77907,639,79104,650,80727,632,82591,641,83543,666
445,WV- MORGANTOWN,70356,515,70721,506,71193,537,71996,571,73042,577,74245,553,75531,541,76244,567,76341,581,79470,587,80326,577,81627,581
457,WY- CASPER,29241,175,29525,167,29898,164,30413,166,30904,166,31469,167,32230,166,32760,177,33235,178,34084,197,35087,192,36052,179
