HRR,HRR Name,State,Medicare enrollees (20% sample) (2006),"Pacemaker placement (inpatient & outpatient) per 1,000 Medicare enrollees (2006)"
1,Birmingham,AL,45366,6.08026
2,Dothan,AL,9463,7.88864
5,Huntsville,AL,13130,5.22657
6,Mobile,AL,15313,6.78743
7,Montgomery,AL,8325,5.63634
9,Tuscaloosa,AL,5583,5.76249
10,Anchorage,AK,7951,6.71868
11,Mesa,AZ,12510,4.8573
12,Phoenix,AZ,39701,6.15899
14,Sun City,AZ,8708,6.81172
15,Tucson,AZ,17397,4.12171
16,Fort Smith,AR,8168,5.84796
18,Jonesboro,AR,5567,6.00993
19,Little Rock,AR,37484,7.3402
21,Springdale,AR,8965,5.65125
22,Texarkana,AR,6443,7.76541
23,Orange Co.,CA,31364,6.61632
25,Bakersfield,CA,12096,8.15292
31,Chico,CA,8020,4.09631
33,Contra Costa Co.,CA,10126,6.46341
43,Fresno,CA,14797,6.35114
56,Los Angeles,CA,100424,5.17707
58,Modesto,CA,11768,3.86863
62,Napa,CA,5796,7.41514
65,Alameda Co.,CA,14105,4.59697
69,Palm Spr/Rancho Mirage,CA,7076,4.33731
73,Redding,CA,8991,4.68451
77,Sacramento,CA,30353,4.50655
78,Salinas,CA,6709,6.00908
79,San Bernardino,CA,20379,6.15222
80,San Diego,CA,37324,5.71801
81,San Francisco,CA,17925,3.95292
82,San Jose,CA,17510,4.46073
83,San Luis Obispo,CA,5638,3.08323
85,San Mateo Co.,CA,9005,4.32932
86,Santa Barbara,CA,7458,6.49293
87,Santa Cruz,CA,3950,-5.96931
89,Santa Rosa,CA,6627,8.71481
91,Stockton,CA,7078,5.06117
96,Ventura,CA,11333,5.10521
101,Boulder,CO,3058,-5.99647
102,Colorado Springs,CO,12367,5.90369
103,Denver,CO,25826,5.34246
104,Fort Collins,CO,5494,5.10278
105,Grand Junction,CO,4838,n/a
106,Greeley,CO,5827,3.31731
107,Pueblo,CO,3454,-5.55147
109,Bridgeport,CT,13101,5.86337
110,Hartford,CT,34298,5.8675
111,New Haven,CT,30966,4.7875
112,Wilmington,DE,16154,5.51679
113,Washington,DC,41344,4.25991
115,Bradenton,FL,7692,6.64898
116,Clearwater,FL,11800,5.72331
118,Fort Lauderdale,FL,54050,6.80949
119,Fort Myers,FL,33731,4.76682
120,Gainesville,FL,12270,4.99936
122,Hudson,FL,10967,6.67756
123,Jacksonville,FL,28021,7.02771
124,Lakeland,FL,6952,5.08203
127,Miami,FL,32180,6.03351
129,Ocala,FL,21801,7.82714
130,Orlando,FL,71036,6.43352
131,Ormond Beach,FL,9875,5.36255
133,Panama City,FL,5303,6.41381
134,Pensacola,FL,17556,6.97652
137,Sarasota,FL,16873,4.86795
139,St Petersburg,FL,8361,5.03037
140,Tallahassee,FL,13555,5.69437
141,Tampa,FL,16765,3.68866
142,Albany,GA,4249,-2.84378
144,Atlanta,GA,78650,4.5384
145,Augusta,GA,13067,7.66246
146,Columbus,GA,5995,5.07096
147,Macon,GA,14569,8.3958
148,Rome,GA,6153,5.85049
149,Savannah,GA,16724,3.9229
150,Honolulu,HI,17288,3.62063
151,Boise,ID,12757,4.16976
152,Idaho Falls,ID,3823,-3.1729
154,Aurora,IL,3545,-6.87514
155,Blue Island,IL,18104,5.4465
156,Chicago,IL,36539,4.44992
158,Elgin,IL,11176,5.18358
161,Evanston,IL,23297,4.03731
163,Hinsdale,IL,7629,3.36939
164,Joliet,IL,11871,5.01354
166,Melrose Park,IL,23838,4.41459
170,Peoria,IL,16031,4.75519
171,Rockford,IL,15968,4.19468
172,Springfield,IL,23419,4.76403
173,Urbana,IL,9143,4.54435
175,Bloomington,IL,3381,-4.81959
179,Evansville,IN,17143,5.53662
180,Fort Wayne,IN,17176,6.47808
181,Gary,IN,11700,6.58756
183,Indianapolis,IN,56746,4.83041
184,Lafayette,IN,3630,-4.05561
185,Muncie,IN,4411,-3.01738
186,Munster,IN,7102,8.33213
187,South Bend,IN,14571,4.08699
188,Terre Haute,IN,4484,-5.50598
190,Cedar Rapids,IA,6221,6.19229
191,Davenport,IA,11985,5.29931
192,Des Moines,IA,24427,5.50217
193,Dubuque,IA,2632,n/a
194,Iowa City,IA,7081,3.3713
195,Mason City,IA,4757,-5.90045
196,Sioux City,IA,6394,3.82482
197,Waterloo,IA,4711,-4.2573
200,Topeka,KS,10307,4.81824
201,Wichita,KS,30865,7.40359
203,Covington,KY,6574,6.86505
204,Lexington,KY,31391,8.13415
205,Louisville,KY,35972,6.03169
207,Owensboro,KY,3680,-7.25076
208,Paducah,KY,10942,7.03097
209,Alexandria,LA,6728,6.60429
210,Baton Rouge,LA,12382,4.48261
212,Houma,LA,4806,6.35316
213,Lafayette,LA,12446,8.68712
214,Lake Charles,LA,5440,5.67903
216,Metairie,LA,6906,6.65454
217,Monroe,LA,6592,9.40824
218,New Orleans,LA,5350,6.60078
219,Shreveport,LA,15445,7.68965
220,Slidell,LA,2815,-6.32573
221,Bangor,ME,11664,6.94118
222,Portland,ME,26650,5.85603
223,Baltimore,MD,47534,4.4408
225,Salisbury,MD,12595,6.4697
226,Takoma Park,MD,12435,3.14191
227,Boston,MA,88985,5.09831
230,Springfield,MA,14681,5.03187
231,Worcester,MA,9116,5.38134
232,Ann Arbor,MI,27277,5.64094
233,Dearborn,MI,11968,5.14488
234,Detroit,MI,37562,6.44949
235,Flint,MI,12308,6.68435
236,Grand Rapids,MI,20377,4.08726
238,Kalamazoo,MI,14722,6.64483
239,Lansing,MI,13919,7.3333
240,Marquette,MI,5869,5.2368
242,Muskegon,MI,6134,5.09414
243,Petoskey,MI,5286,7.48345
244,Pontiac,MI,8573,6.50546
245,Royal Oak,MI,15915,5.45909
246,Saginaw,MI,19917,7.79071
248,St Joseph,MI,3825,-3.73191
249,Traverse City,MI,7413,7.81889
250,Duluth,MN,8438,3.59245
251,Minneapolis,MN,44457,5.10871
253,Rochester,MN,9513,4.708
254,St Cloud,MN,4189,-5.61547
256,St Paul,MN,12389,5.96896
257,Gulfport,MS,3602,-4.72985
258,Hattiesburg,MS,6578,5.98519
259,Jackson,MS,20961,4.62074
260,Meridian,MS,4839,4.66188
261,Oxford,MS,3066,-4.8299
262,Tupelo,MS,8398,3.87452
263,Cape Girardeau,MO,7162,6.02953
264,Columbia,MO,16896,8.77513
267,Joplin,MO,9618,4.8486
268,Kansas City,MO,43698,5.44452
270,Springfield,MO,19445,4.81716
273,St Louis,MO,63002,7.50265
274,Billings,MT,12776,5.23814
275,Great Falls,MT,3588,-5.54132
276,Missoula,MT,8747,3.80877
277,Lincoln,NE,13937,5.46548
278,Omaha,NE,26615,5.56051
279,Las Vegas,NV,21217,5.00933
280,Reno,NV,13192,4.15991
281,Lebanon,NH,11070,4.3274
282,Manchester,NH,18060,3.67908
283,Camden,NJ,64156,6.41923
284,Hackensack,NJ,26021,5.37005
285,Morristown,NJ,20756,5.58604
288,New Brunswick,NJ,19121,5.94576
289,Newark,NJ,25598,6.13485
291,Paterson,NJ,7594,5.8073
292,Ridgewood,NJ,8362,5.90168
293,Albuquerque,NM,24330,3.64354
295,Albany,NY,39951,4.38776
296,Binghamton,NY,10141,2.94198
297,Bronx,NY,12711,3.54218
299,Buffalo,NY,20345,6.05151
300,Elmira,NY,8741,5.35425
301,East Long Island,NY,79598,5.46442
303,New York,NY,66709,4.11448
304,Rochester,NY,15192,6.537
307,Syracuse,NY,23832,5.12673
308,White Plains,NY,21748,4.66544
309,Asheville,NC,18752,5.40333
311,Charlotte,NC,40847,5.21561
312,Durham,NC,27151,4.12537
313,Greensboro,NC,9704,4.92827
314,Greenville,NC,18237,4.16489
315,Hickory,NC,6718,6.04577
318,Raleigh,NC,30028,5.50659
319,Wilmington,NC,10236,8.29211
320,Winston-Salem,NC,19604,5.03032
321,Bismarck,ND,5732,6.54551
322,Fargo Moorhead -Mn,ND,11700,3.59158
323,Grand Forks,ND,3845,-6.65923
324,Minot,ND,3357,-6.6633
325,Akron,OH,12177,4.93657
326,Canton,OH,12885,3.50536
327,Cincinnati,OH,28784,5.46026
328,Cleveland,OH,44362,4.97884
329,Columbus,OH,55635,6.37758
330,Dayton,OH,24181,5.0639
331,Elyria,OH,5709,6.89982
332,Kettering,OH,8580,5.18241
334,Toledo,OH,20929,6.08649
335,Youngstown,OH,14942,4.96265
336,Lawton,OK,4245,-6.37621
339,Oklahoma City,OK,36105,6.04852
340,Tulsa,OK,24163,5.14593
341,Bend,OR,3822,-3.05181
342,Eugene,OR,12708,4.69737
343,Medford,OR,10262,4.16115
344,Portland,OR,27044,4.60394
345,Salem,OR,2874,-4.38806
346,Allentown,PA,27130,5.97537
347,Altoona,PA,5862,5.80345
350,Danville,PA,11953,4.96793
351,Erie,PA,17056,5.82978
352,Harrisburg,PA,23306,5.56956
354,Johnstown,PA,3293,-8.23877
355,Lancaster,PA,13654,7.68891
356,Philadelphia,PA,54794,6.3501
357,Pittsburgh,PA,42716,5.6792
358,Reading,PA,12523,7.70355
359,Sayre,PA,5194,7.8934
360,Scranton,PA,8572,5.81828
362,Wilkes-Barre,PA,7010,10.23446
363,York,PA,9786,4.38232
364,Providence,RI,17784,4.78994
365,Charleston,SC,22043,7.21927
366,Columbia,SC,23575,7.06375
367,Florence,SC,8218,6.12192
368,Greenville,SC,18459,6.06551
369,Spartanburg,SC,8008,6.75562
370,Rapid City,SD,4864,3.07995
371,Sioux Falls,SD,21164,5.20433
373,Chattanooga,TN,14424,4.28809
374,Jackson,TN,8607,6.39765
375,Johnson City,TN,5528,6.00768
376,Kingsport,TN,10258,2.68319
377,Knoxville,TN,26374,4.86261
379,Memphis,TN,31219,6.57197
380,Nashville,TN,45631,5.23665
382,Abilene,TX,8031,9.00999
383,Amarillo,TX,9615,6.48255
385,Austin,TX,19835,7.2321
386,Beaumont,TX,9966,5.9466
388,Bryan,TX,3750,-6.30082
390,Corpus Christi,TX,9227,4.66396
391,Dallas,TX,60775,6.34805
393,El Paso,TX,16703,4.65825
394,Fort Worth,TX,26073,5.67822
396,Harlingen,TX,8983,6.79194
397,Houston,TX,73993,5.64241
399,Longview,TX,5065,5.63903
400,Lubbock,TX,14084,6.08532
402,Mcallen,TX,8775,6.89251
406,Odessa,TX,6737,6.72018
411,San Angelo,TX,4007,-5.55905
412,San Antonio,TX,38239,5.63624
413,Temple,TX,4860,5.29814
416,Tyler,TX,14584,6.17049
417,Victoria,TX,3997,-8.37087
418,Waco,TX,6886,6.2403
420,Wichita Falls,TX,5485,6.0969
421,Ogden,UT,5608,1.95089
422,Provo,UT,5178,7.53064
423,Salt Lake City,UT,25945,4.62165
424,Burlington,VT,14792,5.09555
426,Arlington,VA,25515,4.52819
427,Charlottesville,VA,12903,4.8678
428,Lynchburg,VA,6142,3.36924
429,Newport News,VA,11189,3.9561
430,Norfolk,VA,22427,4.86499
431,Richmond,VA,32130,4.80461
432,Roanoke,VA,18170,4.29784
435,Winchester,VA,9113,3.84972
437,Everett,WA,9306,3.53988
438,Olympia,WA,6738,3.71314
439,Seattle,WA,41534,4.17883
440,Spokane,WA,30896,4.36269
441,Tacoma,WA,11615,4.48404
442,Yakima,WA,5295,4.98825
443,Charleston,WV,22148,5.08861
444,Huntington,WV,9283,5.62585
445,Morgantown,WV,9645,4.98429
446,Appleton,WI,5540,4.66939
447,Green Bay,WI,11149,5.65594
448,La Crosse,WI,6755,3.46514
449,Madison,WI,20349,4.58485
450,Marshfield,WI,8611,5.32191
451,Milwaukee,WI,48832,5.22232
452,Neenah,WI,4441,-5.03812
456,Wausau,WI,4687,-4.70111
457,Casper,WY,4785,6.36363
999,United States,US,5242267,5.50334
